cod;nome;período;valor
1076;BRA;1981;12.56
1076;BRA;1982;12.57
1076;BRA;1983;13.77
1076;BRA;1984;15.32
1076;BRA;1985;15
1076;BRA;1986;15.26
1076;BRA;1987;16.89
1076;BRA;1988;16.78
1076;BRA;1989;20.3
1076;BRA;1990;22.22
1076;BRA;1991;20.94
1076;BRA;1992;19.21
1076;BRA;1993;20.2
1076;BRA;1994;21.23
1076;BRA;1995;23.84
1076;BRA;1996;24.78
1076;BRA;1997;25.39
1076;BRA;1998;25.94
1076;BRA;1999;26.2
1076;BRA;2000;27.35
1076;BRA;2001;27.86
1076;BRA;2002;28.53
1076;BRA;2003;29.14
1076;BRA;2004;26.94
1076;BRA;2005;26.13
1076;BRA;2006;26.61
1076;BRA;2007;26.2
1076;BRA;2008;26.72
1076;BRA;2009;27.18
1076;BRA;2010;27.8
1076;BRA;2011;27.45
1076;BRA;2012;29.41
1076;BRA;2013;28.55
1076;BRA;2014;29.82
1076;BRA;2015;28.89
1076;BRA;2016;30.33
1076;BRA;2017;31.59
